work_key,title,subtitle,description,first_sentence,edition_count,first_publish_year,first_publish_date
OL27838518W,From Blood and Ash,,"A Maiden…

Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy by the gods. But the choice has never been hers.

A Duty…

The entire kingdom’s future rests on Poppy’s shoulders, something she’s not even quite sure she wants for herself. Because a Maiden has a heart. And a soul. And longing. And when Hawke, a golden-eyed guard honor bound to ensure her Ascension, enters her life, destiny and duty become tangled with desire and need. He incites her anger, makes her question everything she believes in, and tempts her with the forbidden.

A Kingdom…

Forsaken by the gods and feared by mortals, a fallen kingdom is rising once more, determined to take back what they believe is theirs through violence and vengeance. And as the shadow of those cursed draws closer, the line between what is forbidden and what is right becomes blurred. Poppy is not only on the verge of losing her heart and being found unworthy by the gods, but also her life when every blood-soaked thread that holds her world together begins to unravel.",,7,2020,
OL11327953W,Levelling the Score,,"He'd always made light of her feelings
 
When she was 15, Jenna had been infatuated with Simon Townsend, her best friend's teasing brother. Then infatuation changed to a curious uneasiness, one that made her feel edgy and restless in his company.
 
Fortunately she had little occasion to see much of him now, for, as a prominent 31 year old  London barrister, he moved in different circles than Jenna. But an escapade of his sister's threw Simon and Jenna, now 24, together again in a most awkward--not to mention compromising--situation. He thought it was funny. Jenna was not amused.
 
And she would have given anything to avoid the consequences!",,7,1987,
OL20018811W,November 9,,"""Beloved #1 New York Times bestselling author Colleen Hoover returns with an unforgettable love story between a writer and his unexpected muse. 

Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. Their untimely attraction leads them to spend Fallon's last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Over time and amidst the various relationships and tribulations of their own separate lives, they continue to meet on the same date every year. Until one day Fallon becomes unsure if Ben has been telling her the truth or fabricating a perfect reality for the sake of the ultimate plot twist. Can Ben's relationship with Fallon and simultaneously his novel be considered a love story if it ends in heartbreak?""--

Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. They spend Fallon's last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Amidst the various relationships and tribulations of their own separate lives they continue to meet on the same date every year. But has Ben has been telling her the truth... or fabricating a perfect reality for the sake of the ultimate plot twist?",,9,2015,
OL11277315W,Twist of Fate,,"Joanne was a shadow of her lovely mother.

Everywhere she went, Clea Thorpe was the center of attention. And Joanne had been content enough living in her shadows, until Ben Norris arrived at their villa in Nice.

He seemed drawn to Clea, even offered to back her latest film. But his motives were not as simple as they seemed. The day Joanne discovered his real feelings was the day she decided she never wanted to see him again.

Now, after five years, she thought she'd got him out of her system. Then she opened a hotel room door, to suddenly find herself right back at square one.",,6,1979,
OL8315354W,Stormy Surrender,,"""Love is mainly a matter of imagination,"" the arrogant Diego Alvarez informed Kathryn in his usual lordly manner. But Kathryn already knew that he was a man without a heart and she was determined to put up a good fight against his outrageous manipulation. She didn't want to go to Spain in the first place and she certainly didn't intend staying with her mother's adoptive family for long. She and Diego disliked each other heartily...so why did he occupy her thoughts so much?",,4,1990,
OL8315362W,Perilous Refuge,,"One man in a lifetime was one too many

 Ross Maclean was as male as they got, filled with everything Helen Andrews hated and feared: masculine aggression, sexual power, unbending strength. Defense mechanisms went on full alert the moment she laid eyes on her new boss. Helen had a family to protect, a job she needed and a past that left fear and uncertainty where there should have been flesh-and-blood woman.

 But Ross dared to tread where her door had closed, unable to quell his longing for this fragile beauty with the strength often. Was he strong enough to crack that fortress around Helen's heart--and offer refuge in his own?",,7,1991,
OL11328452W,Bittersweet Passion,,"In desperation Claire asked Dane to marry her

Her adoptive grandfather had left Claire Fletcher his entire estate on the condition that she marry one of his grandsons.

But he must have forgotten that the free-spirited Dane Visconti, though long banished from the family's realm, still qualified. And Claire had always idolized and trusted Dane.

With his worldly reputation, Claire conceded Dane was not the marrying kind, so when he agreed she promised to make no demands on him. But Dane made no promise in return - and insisted on a few conditions of his own.",,4,1987,
OL4955616W,The Impossible Boss,,"Tammy Dainton hadn't come all the way out to the Australian outback to be bullied and pushed around by that detestable, impossible man, Rick Hatton, even if many other girls would have jumped at the opportunity. 

But Rick Hatton held all the cards, and it looked as though Tammy would just have to put up with him...",,3,1975,
OL11277298W,Love in the Dark,,"He had always been a threat.

Stephanie had come halfway around the world, built a new life, met another man. And now Gerard Tenniel had arrived -- Gerard, who knew all about the scandal five years earlier and threatened to talk about it. Unless. 

It was the 'unless' that bothered Stephanie. She agreed that disclosure would hurt her brother's career, that her budding romance must die a-blooming. She even agreed to leave town with Gerard. So what else did he want? 

She was shocked to learn that despite the bitterness left by the trial, Gerard still wanted her. But was it for love -- or revenge?",,4,1987,
OL3467485W,Comparative Strangers,,"It was outrageous. He couldn't be serious!

One day Amanda was happily engaged to Nigel, a flamboyant British car rally driver, the next she was the reluctant fiancee of his stern, laconic older brother, Malory Templeton. 

As if she hadn't been through enough. Hadn't finding Nigel in the arms of another woman been more than she deserved? The hard glitter in Malory's eyes told her otherwise. 

Malory was a virtual stranger to her, but Amanda had no choice. Her own foolish pride had caused the crazy switch in fiances, and Malory, it seemed, was going to hold her to it.",,5,1988,"November 9, 1990"
OL3294436W,Retribution,,"His intentions were definitely dangerous

Laura didn’t know why Simon Hilliard had asked her sister, Annette, to go to Paris.  Whatever the reason, it could only mean trouble if she accepted.  Simon had a reputation – and it wasn’t a good one!

So Laura jumped in to save her sophisticated but careless sister.  And Simon lost no time in turning his charm on Laura herself.

Soon she discovered that Simon bore a secret grudge against her whole family.  She might save her sister – but she had no idea of how to save herself.",,5,1981,June 1984
OL3845148W,The Other Woman,,"Georgina’s new boss Tallis York has been told that she is having an affair with Desmond Warner, his cousin’s estranged husband. Nothing she says or does can clear the air. As Georgina fumes about this unfounded gossip, somewhere along the way she realizes that she actually does care a lot about what Tallis thinks about her.",,4,1980,
OL20004814W,"After We Collided (After Series, Book 2)",,"""Book Two of the After series--the Internet sensation with millions of readers. Tessa didn't plan on meeting H. during her freshman year of college. But now that she has, her life will never be the same""--",,8,2014,
OL4233148W,Passionate Scandal,,"Wild and willful, Madeline had run rings around the besotted men who fell for her wicked blue eyes and black mane of hair. Until she met Dominic Stanton.

Their scandalous affair and broken engagement had sent Madeline running, crushed by a man who took his revenge in the most public of ways.

But now Madeline had returned, poised and controlled, her inner fire hidden--to everyone but Dominic. And now, somehow, two passionate adversaries would try to end the bitterness that had driven their families apart. But both knew it was a dangerous game",,11,1994,
OL16014245W,Shatter Me,,"Juliette hasn't touched anyone in exactly 264 days. The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette's touch is fatal. As long as she doesn't hurt anyone else, no one really cares. The world is too busy crumbling to pieces to pay attention to a 17-year-old girl. Diseases are destroying the population, food is hard to find, birds don't fly anymore, and the clouds are the wrong color. The Reestablishment said their way was the only way to fix things, so they threw Juliette in a cell. Now so many people are dead that the survivors are whispering war-- and The Reestablishment has changed its mind. Maybe Juliette is more than a tortured soul stuffed into a poisonous body. Maybe she's exactly what they need right now. Juliette has to make a choice: Be a weapon. Or be a warrior. In this electrifying debut, Tahereh Mafi presents a world as riveting as The Hunger Games and a superhero story as thrilling as The X-Men. Full of pulse-pounding romance, intoxicating villainy, and high-stakes choices, Shatter Me is a fresh and original dystopian novel—with a paranormal twist—that will leave readers anxiously awaiting its sequel.",,24,2011,
OL2959270W,Pattern of Deceit,,"'If you start fancying yourself in love with me, you're out.'

Matt Fielding might be impossibly arrogant, but his stipulation suited Ann just fine. Bitter experience had taught her to steer clear of the limelight - all she wanted was to concentrate on the prestigious job he was offering. But he needn't think he could walk all over her, either...so perhaps it was inevitable that sparks would fly!",,7,1989,"October 1, 1990"
OL7990767W,The Reluctant Husband,,"She was still his wife!
Frankie Caparelli thought she'd seen the last of her husband, Santino Vitale -- until he breezed back on the scene with some earth-shattering news. Their marriage wasn't annulled, and now he intended to claim the wedding night they'd never had!
He had it all worked out. Within three weeks Frankie would have paid her dues and be free to leave Sardinia, file for divorce, and forget him forever.
But Santino hadn't reckoned on falling for Frankie all over again -- or that now she could be expecting his baby.... 

imho,
during the 5 year separation, it is reasonable to think he was faithful...
well, except for the almost indiscretion in the elevator,",,11,1998,
OL11277334W,Spellbinding,,"She woke to a strange world

After months in a coma, Belinda woke to find she'd lost her job, her apartment and even her fiance, Ricky. He had left her for another woman.

She resolved to get on with things and make a new life for herself. But she hadn't reckoned on the meddling of Ricky's brother, powerful merchant broker Vincent Garrett.

Gradually, despite all her attempts to evade him, Belinda was forced to acknowledge the attractions of a very unconventional Prince Charming ....",,5,1990,
OL11327897W,Fire with Fire,,"It occurred to him that he could use her

Emma had always played the role of dependable older sister, so it was not surprising that after smashing up Drake Harwood's brand-new Ferrari, Camilla, unable to pay, expected Emma to bail her out.

But the shrewd and attractive entrepreneur saw a way of capitalizing on her predicament. He exacted a highly unusual, and very personal payment that cost Emma her career as a London TV newscaster--to say nothing of her pride.

Emma was prepared to fight fire with fire--never thinking that, for her, Drake Harwood was as lethal as dynamite!",,5,1985,
OL8030401W,Intangible Dream,,"A devil's bargain
James Sanderson is domineering, handsome and cold as black stone. Beneath all his polish, gloss and sophistication, Gemma knows there lurks a savage, untamed jungle cat who takes what he wants. And he wants her. 
 Her father's death and mitigating circumstances give James the upper hand. Gemma makes it clear she neither loves nor likes him, but the only way gaining time is to agree to his proposition of marriage. After all, she has a great sense of self-preservation and some terms of her own that she's prepared to deliver....",,5,1992,
OL8315310W,Dearest Traitor,,"Lord of the manor

 Steven Templeton had shattered Georgina's life once, and now that he'd returned to Kellerdale Hall, he clearly intended to scatter the pieces. He obviously didn't want her around as estate manager.

 But Georgina declared war--convincing herself Steven was as bad as his reputation. Hadn't he stolen his brother's wife and turned a defenseless female out into the night?

 And she would never let him close enough to rekindle the desire that still haunted them both. But never was a long time, especially now that Steven was home for good....",,6,1992,
OL3770492W,Echoes of the Past,,"She'd always intended to make amends someday

Now that day had dawned sooner than she'd expected. And Jared Faulkner was demanding a reckoning.

Purdey wasn't proud of the way she'd treated Jared in the past, even though at the time she could see no real alternative.

But it was a fearful price Jared wanted to extract from her-far greater than she'd expected to pay. And just as before she could see no other way out. Jared had her in his power and could so easily crush her....",,5,1989,
OL17850410W,The Cruel Prince,,"**GUARD YOUR MORTAL HEART.**

JUDE WAS SEVEN WHEN HER PARENTS were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King.

To win a place at the Court, she must defy him--and face the consequences.

As Jude becomes more deeply embroiled in palace intrigues and deceptions, she discovers her own capacity for tricker and bloodshed. But as betrayal threatens to drown the Courts of Faerie in violence, Jude will need to risk her life in a dangerous alliance to save her sisters, and Faerie itself.

From #1 *New York Times* bestselling author Holly Black comes the first book in a stunning new trilogy filled with twists and enchantment, as one girl learns the meaning of true power when she finds herself caught in a web of royal faerie intrigue.

This description comes from the publisher. *The Cruel Prince* is the first book of the Folk of the Air trilogy.",,18,2018,
OL4233186W,Slave to Love,,"Sweet nights, no promises...

After her year-long affair with Solomon Maclaine, it was clear to Roberta that she would never be anything but his mistress. Mac's first marriage had left its scars on him, but he still seemed to give most of his time to his ex-wife and spoiled daughter.

Roberta faced a hard decision; if she were to have the commitment and children she craved, she'd have to leave. But could she really give up the love she shared with Mac ? A love that brought with it no promises...but the sweetest nights of passion?",,11,1995,
OL3467489W,Counterfeit Bride,,"Nicola found he was a law unto himself

She had agreed to masquerade as his prospective bride to help her young friend escape. She was appalled that arranged marriages still existed.

But Luis Alvarado de Montalba was not a man to be crossed. ""You forced your way into my life, "" he informed her when he discovered the deception, ""and now you will remain in it. ""

While she conceded he was entitled to his anger, it was her life and future he had taken under control. And he simply ignored her protests.

Mills & Boon

Because the last thing her young friend Teresita wanted was to be forced into a marriage of convenience with the guardian she had not seen for years, Nicola Tarrant agreed to pose as Teresita when the guardian, the formidable Don Luis Alvardo de Montalba, came to claim her. But the plot went sadly awry when Don Luis called her bluff - and to her horror Nicola found herself whisked off to a hacienda somewhere in the heart of Mexico, and forced to marry him. And there was no way she could escape...",,5,1982,June 1983
OL4233175W,The Dark Side of Desire,,"She could run . . . but she couldn't hide. No longer the shattered teenager who had left Thornley vowing never to return, Rebecca Shaw had come to terms with the legacy of Jay Lorence's betrayal and had built a new life on HER terms. But her mother needed her now--and nothing could keep Rebecca from going home. Ten years melted in Jay's embrace; his kiss reopened old wounds and ignited forgotten temptations. Every instinct warned her to run before her hard-worked-for peace and stability came crashing down. Rebecca had a new life--one she had no intention of letting Jay invade. But keeping a man like Jay at arm's length was next to impossible--especially when it wasn't what she really wanted to do",,6,1991,
OL20893778W,Corrupt,,"Dreams are desires of the heart; Nightmares, my obsession.
Erika
When I have it close to me, I tremble. Of fear and desire.

Michael Crist, my ex-boyfriend's older brother, is like one of those movies that, even though it's scary, you can't stop watching. Handsome, strong, and intimidating, I've watched him for years, wishing I was closer to see if what is said about him is true. He's the star of his university's basketball team, he'd never noticed me and he'd barely looked at me... Until now. He's got something on his mind, I can feel it, I can almost taste it but, knowing everything I know, do I really want to find out what he has planned?

Michael
I want to get revenge. Almost as much as owning it.

Her name is Erika Fane, but everyone calls her Rika. You could say he grew up in my house, he's always been around. She looks away when I walk into a room and stays still when I'm around. I can feel the tension he gives off, his desire for more; I don't have his body but I know I've caught his mind. And now, the opportunity to avenge what happened a few years ago is too good to be true. I've been patient. I've waited for the moment. Every last of your nightmares will come true.

When passion and danger mix, anything can happen.",,6,2015,
OL3498612W,The Marriage Possession,,"For the past year, Lisane Deveraux has been a successful lawyer by day and millionaire Zac Winstone's passionate mistress by night.A surprise pregnancy changes everything.  Zac insists on commitment. But is he simply protecting his prize possessions—his beautiful lover and his future heir? For the sake of their baby, Lisane will become Zac's trophy wife...knowing that his heart will never be part of the deal.",,6,2007,"April 1, 2007"
OL11327973W,Substitute Lover,,"It was such a strange request - Gray Chalmers asking Stephanie to pose as his lover to help him resist the attractions of a beautiful but married woman.
Gray knew Stephanie, knew she didn't even like being touched. Yet he insisted she come back to the village to play the part of the femme fatale.
But Gray had never pried into the bitter marriage Stephanie had endured to his cousin. He'd offered only comfort in the ten years since its tragic ending. So, while she hated the pretense, she couldn't refuse",,4,1987,
OL2959374W,The Velvet Tiger,,"Break up or marry?

Lissa Gilmore had given Kane Marriot a year of her life--more than enough time to determine they were going nowhere. -

Three weeks without a word from Kane was the last straw. Each day that passed steeled Lissa's resolve to end the relationship.

Then Kane breezed back and proposed. Marriage was exactly what Lissa wanted. But what exactly did Kane expect by ex-changing vows?",,7,1992,"September 1, 1992"
OL16481385W,Second-Best Bride,,"Angie didn't know all the facts!
When her sister, Cilla, decided not to marry Terzan Helios after all, Angie was persuaded to go to his Greek island to break the news. Cilla had described Terzan as ""sinfully wealthy and wickedly attractive. "" But she had neglected to tell Angie one thing--Terzan was now blind. Angie's heart soon went out to the proud, enigmatic Greek.
Yet she would never let him suspect that her feelings were stronger than compassion. For to Terzan, Angie would always he a mere substitute....",,1,1981,
OL11327962W,A Reason for Being,,"She'd unleashed his fury with her jealous lies
 
Ten years ago 17 year old Maggie had fled her beloved Deveril House--driven off by Marcus Landersby's savage outrage. Her falsehoods, an attempt to hang on to Marcus, her attractive older stepcousin, had backfired horribly.
 
Now Maggie had returned to her home. Reluctantly she'd been drawn back by an urgent letter from Marcus's schoolgirl halfsisters, Susie and Sara.
 
The two motherless girls desperately needed her. But Marcus now 37 would never tolerate Maggie's presence. Too many bitter memories stood in the way--and so did his malicious fiancee, Isobel....",,8,1989,
OL4342716W,Temporary Wife,,"Emily Lamb thought Luke Adams was attractive and powerful enough to arrange his own marriage--but when her friend Gina Harrick asked her to marry him for business reasons, Emily had her own reasons for agreeing.

It was, of course, to be a temporary marriage of convenience; only Emily hadn't counted on falling in love with Luke. Nor had she suspected that the secret behind the business reasons was the fact that Luke was in love with Gina, his boss's wife . . .",,4,1975,
OL3845179W,A First Time for Everything,,"A little excitement was what she wanted

So Josslyn's sudden assignment to Egypt came as a delightful surprise. Pity she couldn't say the same about her new boss.

Thane Addison. An overbearing, domineering slave driver. And yet, sometimes, Joss got a glimpse of an entirely different sort of personality beneath his arrogant exterior. It was enough that Joss knew despite having to work for this brute of a man, she wanted to stay.

Not that Thane seemed to care at all what his temporary secretary thought about him... .",,12,1990,
OL17719508W,"After (After Series, Book 1)",,"Now a major motion picture!

Experience the internet's most talked-about book from Anna Todd, the writer Cosmopolitan called “the biggest literary phenomenon of her generation”—now with new exclusive material!

There was the time before Tessa met Hardin, and then there’s everything AFTER... Life will never be the same. #Hessa

Tessa is a good girl with a sweet, reliable boyfriend back home. She’s got direction, ambition, and a mother who’s intent on keeping her that way.

But she’s barely moved into her freshman dorm when she runs into Hardin. With his tousled brown hair, cocky British accent, and tattoos, Hardin is cute and different from what she’s used to.

But he’s also rude—to the point of cruelty, even. For all his attitude, Tessa should hate Hardin. And she does—until she finds herself alone with him in his room. Something about his dark mood grabs her, and when they kiss it ignites within her a passion she’s never known before.

He'll call her beautiful, then insist he isn’t the one for her and disappear again and again. Despite the reckless way he treats her, Tessa is compelled to dig deeper and find the real Hardin beneath all his lies. He pushes her away again and again, yet every time she pushes back, he only pulls her in deeper.

Tessa already has the perfect boyfriend. So why is she trying so hard to overcome her own hurt pride and Hardin's prejudice about nice girls like her?

Unless...could this be love?",,11,2014,
OL15411754W,Temptation,,"Linden had only been seventeen when the thirty-nine year old Joss crashed into her life. Naively, she offered him her friendship and trust. In return, he had aroused emotions in her she was too young to handle, wrenching her from childhood to womanhood in a few startling days.

When he left her, Linden realized that she been ruthlessly used. Her love for Joss had been almost worshipful. His love had been a savage devouring—taking and never giving. His love had destroyed her, just as she would now destroy him!",,5,1979,
OL3476075W,Iceberg,,"""Daddy, why don't you marry Linnet?"" Little Sarah Doyle adored Linnet, whose heart was touched by the loneliness of the bright motherless child. Sarah's father, Justin, was another matter entirely. He could be cold as ice, yet he possessed an animal magnetism that was impossible to ignore - though Linnet tried. Justin knew that Sarah would be devastated if she ever lost her companion. He had the perfect solution to keep Linnet around - but it certainly wasn't marriage....",,4,1980,1980
OL3845173W,Passport to Happiness,,"Never again would she be fooled by a man's lies

To think she'd tracked her errant fiance all over Italy -- only to find him in another woman's arms. Jayme Warren should have been devastated.

There was no time to brood, however, over what might have been. She had to cope with the attractive Nerone Mondadori. Having literally swept her off her feet after an accident, he seemed inclined to take over her life in a totally disconcerting way.

The sensible thing to do, Jayme supposed, was to leave for England immediately. But that was impossible....",,8,1990,
OL3476079W,Mansion for My Love,,"""He's not a good man to fall in love with!""

 Faine had not ignored the warning, but even without his wealth, charm and good looks, Burke Harding had a magnetism,

 His determined pursuit and assault on her heart soon overcame her wavering resistance. She agreed to marry him, but some deep instinct of self-preservation kept her from revealing her love--and in time her decision was vindicated.

 ""I carefully avoided telling you that I love you,"" he told her when Faine discovered she was a stand-in for the woman he really loved--but could not have.",,4,1982,1982
OL3845101W,When the Loving Stopped,,"There was no doubt she was to blame

Whitney Lawford never imagined that when she slipped into an empty bedroom to escape a tedious drunken party, she would wake up next to Sloan Illingworth, the tall, attractive owner of Illingworth International.

So when Sloan's engagement was broken and he asked her to pose as his fiancee, Whitney felt obliged to agree. However, Sloan wanted to be the only man in her life.

When she learned how Sloan had deceived her, Whitney swore never to forgive him. Then circumstances changed. . . .",,5,1988,
OL3771180W,Sweet Revenge,,"""I want to leave, and I'm going to!""

Toni continued her protest determinedly. ""I don't know what kind of person you think I am, or what you think you can do to me. But you can't make me stay here!""

The Conde smiled. With his looks, his money, and his castle in Portugal, he could usually make anyone do anything he wanted.

""You tried to deceive me,"" he said smoothly. ""Now you will remain here and be punished. And afterward—who knows? You may find yourself wanting to stay",,3,1970,
OL8315355W,Dark Illusion,,"""I remove obstacles that stand in my way!"" 

 Nick Martella wouldn't allow Joanna's love for another man to cause him any problems. Joanna, of course, resisted his high handed attitude, but it seemed that wherever she went, whatever she did, Nick was always one step ahead of her. It was hard enough to deal with him in England, but on the small Caribbean island Nick called home, Joanna found it even more difficult to out maneuver him. It was, though, only when Joanna realized that she was not only fighting Nick's single minded pursuit of her, but her own growing love for him, that her problems really began!",,6,1992,
OL5236211W,The Butterfly and the Baron,,"She would choose her own husband!

When Renee's wealthy parents arranged her marriage to a man she despised, she had fled to her beloved Aunt Katie's home in Queensland.

There she had hoped to escape and recover her shattered pride, but her plans were crushed by Nick Garbutt, a man even more powerful than her father.

Nick had the ability to arouse in her all the emotions she'd been accused of lacking -- emotions she now felt ill-equipped to handle. Especially knowing that Nick was to marry someone else!",,5,1979,
OL4233121W,Gold Ring of Betrayal,,"They've never stopped being married . . . 
Nicolas Santino doesn't accept that Lia is his daughter. He believes Sara, his wife, cheated on him with another man, and Lia is the result of that betrayal. 
So Sara and Nicolas are separated - until the silence between them is forcibly broken - Lia has been kidnapped! Nicolas knows he is the only one who can secure the little girl's safe return, but it means he must go back to Sara - and find that, even after three long years, she still wears his ring...",,6,1996,
OL11327982W,Blackmail,,"His only desire was to use her 

That horrible damning letter! If Lee didn't become Gilles de Chauvigny's temporary wife he'd show it to her real fiance.
 
That Gilles could disrupt her life so carelessly, so callously just to be rid of a too possessive mistress--outraged Lee, but she was powerless to stop him.
 
Then, later, she didn't want to, for she had fallen hopelessly in love with him. Hopelessly because his spurned lover vowed to have him back. Hopelessly because Gilles felt nothing for her.",,8,1982,
OL3845160W,Hidden Heart,,"The real truth could never be told!

Mornay would never allow anything to harm her beloved sister and her family. That was why she shouldered the blame when wealthy industrialist Brad Kendrick wrongly accused her of being the hit-and-run driver who had landed him in the hospital.

Restrained by family loyalty, Mornay was forced to submit to the punishment Brad inflicted on her.

She wondered how long she could endure the added torment of falling in love with a man who made it clear that he despised her.. . .",,7,1990,
OL2705619W,One More River to Cross,,"It had been her own impulsive decision to help her look-alike cousin, Becky, by taking her place at Craigievar. Becky had promptly vanished. Then the river had flooded, cutting off access to the remote sheep station. So Rebecca was forced to continue the deception. To make matters worse, Rebecca had fallen in love with Darrock Fordyce, the autocratic owner of Craigievar. But what use was that when he thought she was Becky-- and engaged to his cousin Lennox?",,5,1979,1980
OL3770466W,Betrayal in Bali,,"Gael had easily been won by Leo Kane's handsome looks and savoir faire. She eagerly accepted his marriage proposal and looked forward to the adventure of living in Indonesia.

But her bridal hopes were quickly shattered when she discovered Leo had staged their marriage for revenge. He wanted to make her pay for a wrongdoing he thought she'd committed.

Unfortunately, Gael couldn't prove her innocence. All she wanted to do was escape the husband she now despised. She must find a way to avoid being part of his crazy scheme!",,6,1980,
OL5236199W,Temple of Fire,,"Would love rise from the ashes of tragedy?

Julian Standford had everything: looks, virility, intelligence and money. The perfect gentleman - if gentlemen were also heartless and ruthless! 

Unfortunately, Fleur's little stepbrother was a Standford, too, and the only way she could be with him was to live under the same roof as Julian. 

For the sake of her stepbrother, she'd try to forget how the Standfords had ruined her life. But Julian seemed determined to continue the destruction...",,2,1981,
OL8315358W,The Gift of Loving,,"Lucy didn't trust Guy an inch

 The Comte de Chauvrais was the rudest and most insensitive man she had ever met.

 What had possessed her Aunt Wanda to accept an invitation to stay at his chateau? And why was he so interested in them? The whole affair made Lucy nervous.

 Especially when Guy claimed love did not exist--that it was merely a respectable cover for desire. Suddenly Lucy was strangely afraid she'd never be able to escape from the trap he had set--and the desire he aroused in her....",,9,1991,
OL4225414W,House of Mirrors,,"She never got over her crush on Grant.
Liz had become a successful author, Grant a famous surgeon, in the years since she had worshipped him and he had called her ""the horror.""
Now, his career ruined by an accident, deserted by his fiancee, Liz's handsome former neighbor was returning home.
Passion grew as Liz helped Grant recover his zest for life. And when he proposed, even though he told her she'd never have his love, Liz accepted....",,4,1982,
OL21435W,Redeeming Love,,"California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep.  Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea. A man who seeks his Father’s heart in everything, Michael Hosea obeys God’s call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel’s every bitter expectation until, despite her resistance her frozen heart begins to thaw. But with her unexpected softening come overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband’s pursuing love, terrified of the truth she can no longer deny: Her final healing must come from the One who loves her even more than Michael Hosea does…the One who will never let her go.  A life-changing story of God’s unconditional, redemptive, all-consuming love.
([source][1])


  [1]: http://francinerivers.com/books/redeeming-love/",,22,1991,
OL3775489W,Savage Interlude,,"Kate's position was impossible!

Kate owed a lot to actor James St. Just. He had introduced her to his fascinating theater world. He treated her as his sister--the only family she had.

If only she and James could reveal that they were brother and sister. But until then, everyone must think they lived together as lovers.

Everyone included the handsome, irresistible movie producer Damien Savage. If Kate could live with James, Damien reasoned, she could live with him. But that was the last thing Kate wanted.",,5,1979,
OL11327153W,Bitter Revenge,,"She could not shake the tragic past...
Carla Howard still had nightmares, even after three years. But tragic as her fiance, Crispin's, death had been, another face haunted her waking mind. For on that fateful night when Carla had broken her engagement to Crispin, she had also seen his older brother, Blaze Douglas, for the first time.
It was sheer bad luck that, when Carla's life had just about reached rock bottom - she was jobless, homeless and penniless - she should find herself at the mercy of Blaze, a man she had described as ""a piece of ice coated with frost"". For Blaze held her entirely responsible for the tragic death of his young brother Crispin, and was determined to be revenged on her. 
Now, down on her luck and finding herself, ironically in Blaze’s care, Carla could no longer deny the love she felt for him. Instead, an unwilling attraction flared up between the two of them, and Blaze asked her to marry him. But neither could she know if it was plan to avenge his brother.
But a few more surprises were in store for Carla....",,3,1982,
OL3759041W,Capable of Feeling,,"""I need a wife, Sophy, but not to share my bed.""

To Sophy, who believed she was frigid, it seemed the perfect arrangement.
Jon Phillips, her kind and understanding boss, was offering Sophy a marriage of convenience.

He needed someone to help care for his niece and nephew, and Sophy already loved the children as if they were her own. Her feelings for Jon, however, were less clear.

In sharing a roof together, Sophy became increasingly aware of her husband and of her growing desire to make their marriage a real one in every sense.",,4,1986,
OL19705711W,Losing hope,,"""In Hopeless, Sky left no secret unearthed, no feeling unshared and no memory forgotten, but Holder's past remains a mystery. He is haunted by the little girl he let walk away from him and he has spent his entire life searching for her. He had hoped that he would finally gain closure and be able to rid himself of his guilt the moment they were reconnected. But he could not have anticipated that the exact opposite would occur and even more guilt and regret would be thrust upon him. Sometimes in life, if we wish to move forward we must first dig deep into our past and make amends with it. In Losing Hope, readers will learn what was going on inside Holder's head during all those moments that left him feeling hopeless and see whether he can perhaps gain the peace he desperately needs""--",,11,2013,
OL3771293W,Sirocco,,"Rachel Fleming wished she had never stopped to help the stranger in distress. But it was too late now. The tables had turned. 

 Alexis Roche was no helpless victim. He was a seasoned hunter committed to the chase. He found out Rachel's name, address, even where she worked and set out to systematically change her whole life. First he toyed with her engagement, and then he closed in on her dangerously frazzled emotions. 

 Rachel's mind bid her to run...but her heart was tiring from the chase.",,8,1983,
OL11277293W,Heartbreaker,,"For the sake of her little daughter, Caroline had had to run away from her violent and cruel husband Peter.  Now he was dead, and his cousin Nick had come to take Caroline back – to the mother-in-law she had always loved, and who loved and now needed her.  But how was she going to cope with Nick?  Nick, who had believed every lie Peter had told him about her, and who now made it plain that he distrusted and despised her.  Could Caroline ever make him see the truth?  And why was she so anxious that he should?",,4,1981,
